ID,setSize,enrichmentScore,NES,pvalue,qvalue,Description
R-HSA-6794361,31,0.282740652,1.499641318,0.075534049,0.145736978,Neurexins and neuroligins
R-HSA-9619665,20,0.330431732,1.495699653,0.07621913,0.146146183,EGR2 and SOX10-mediated initiation of Schwann cell myelination
R-HSA-193648,54,0.232077818,1.485685241,0.076534534,0.146252227,NRAGE signals death through JNK
R-HSA-201451,21,0.323211047,1.488850891,0.077297702,0.147332813,Signaling by BMP
R-HSA-428157,63,0.218666707,1.467560976,0.080025815,0.15098808,Sphingolipid metabolism
R-HSA-9634638,21,0.319117014,1.469991992,0.083041958,0.15510805,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
R-HSA-9616222,27,0.29024317,1.465394177,0.087649402,0.160891306,Transcriptional regulation of granulopoiesis
R-HSA-182971,26,0.293101442,1.460897781,0.090148022,0.163067961,EGFR downregulation
R-HSA-3906995,40,0.249799245,1.446521142,0.089946488,0.163067961,Diseases associated with O-glycosylation of proteins
R-HSA-9033241,55,0.22466584,1.446359227,0.091486102,0.165087703,Peroxisomal protein import
R-HSA-3781860,19,0.325130687,1.442623195,0.096443488,0.172852139,Diseases associated with N-glycosylation of proteins
R-HSA-6806667,29,0.278088315,1.441415596,0.096716631,0.172852139,Metabolism of fat-soluble vitamins
R-HSA-163685,75,0.201264328,1.419183997,0.096648398,0.172852139,Integration of energy metabolism
R-HSA-196071,15,0.353752706,1.430026807,0.098520866,0.174179771,Metabolism of steroid hormones
R-HSA-446728,61,0.21469123,1.425972967,0.098628065,0.174179771,Cell junction organization
R-HSA-1266695,19,0.323120701,1.433704774,0.10112644,0.178169763,Interleukin-7 signaling
R-HSA-2129379,29,0.274331168,1.42194117,0.104449203,0.18358996,Molecules associated with elastic fibres
R-HSA-187687,31,0.269718222,1.430571042,0.105039537,0.18419317,Signalling to ERKs
R-HSA-4420332,15,0.348451231,1.408595871,0.107765452,0.186775862,Defective B3GALT6 causes EDSP2 and SEMDJL1
R-HSA-3560801,15,0.346700214,1.401517476,0.110802958,0.191151302,Defective B3GAT3 causes JDSSDHD
R-HSA-202131,16,0.336174389,1.394406339,0.116810232,0.200124972,Metabolism of nitric oxide: NOS3 activation and regulation
R-HSA-114608,101,0.179804463,1.366188154,0.118586441,0.202238228,Platelet degranulation 
R-HSA-1660661,30,0.265743859,1.395342543,0.118900995,0.202311714,Sphingolipid de novo biosynthesis
R-HSA-9639288,44,0.231877673,1.384148222,0.120257453,0.204153642,Amino acids regulate mTORC1
R-HSA-77289,32,0.256324983,1.375158871,0.128918633,0.216392585,Mitochondrial Fatty Acid Beta-Oxidation
R-HSA-191273,24,0.281988628,1.364693323,0.12989716,0.217545095,Cholesterol biosynthesis
R-HSA-168179,109,0.173339275,1.341720593,0.131344202,0.218984328,Toll Like Receptor TLR1:TLR2 Cascade
R-HSA-181438,109,0.173339275,1.341720593,0.131344202,0.218984328,Toll Like Receptor 2 (TLR2) Cascade
R-HSA-211897,27,0.27150349,1.370780346,0.132802125,0.220428799,Cytochrome P450 - arranged by substrate type
R-HSA-4791275,28,0.265073193,1.356706715,0.13829023,0.227511288,Signaling by WNT in cancer
R-HSA-881907,15,0.330922483,1.337736824,0.144215531,0.235182761,Gastrin-CREB signalling pathway via PKC and MAPK
R-HSA-1500931,90,0.179516253,1.327978297,0.144990666,0.235930571,Cell-Cell communication
R-HSA-416476,102,0.172979082,1.316995243,0.14814433,0.240537061,G alpha (q) signalling events
R-HSA-1660499,50,0.212719983,1.327785996,0.155015535,0.249519151,Synthesis of PIPs at the plasma membrane
R-HSA-163125,50,0.212188257,1.32446699,0.157345761,0.252667925,Post-translational modification: synthesis of GPI-anchored proteins
R-HSA-5654696,17,0.309998611,1.319234965,0.159038014,0.254345864,Downstream signaling of activated FGFR2
R-HSA-76005,105,0.168705948,1.295173098,0.163428924,0.259143736,Response to elevated platelet cytosolic Ca2+
R-HSA-8948216,32,0.244157265,1.309880232,0.165081602,0.261208568,Collagen chain trimerization
R-HSA-112314,105,0.168270101,1.291827056,0.165690205,0.261616112,Neurotransmitter receptors and postsynaptic signal transmission
R-HSA-112409,22,0.27838843,1.305869642,0.167246521,0.263515159,RAF-independent MAPK1/3 activation
R-HSA-3928663,26,0.261081662,1.301302436,0.169376365,0.266307942,EPHA-mediated growth cone collapse
R-HSA-1855204,24,0.26878939,1.300815171,0.170298727,0.267194457,Synthesis of IP3 and IP4 in the cytosol
R-HSA-975634,26,0.259492986,1.293384042,0.174714875,0.273547394,Retinoid metabolism and transport
R-HSA-422356,53,0.203028321,1.293402336,0.17557168,0.274312588,Regulation of insulin secretion
R-HSA-162710,18,0.298572749,1.298523271,0.175995901,0.274400128,Synthesis of glycosylphosphatidylinositol (GPI)
R-HSA-3000157,28,0.252002808,1.289809422,0.179477969,0.276932336,Laminin interactions
R-HSA-5686938,15,0.318354205,1.286930216,0.179344955,0.276932336,Regulation of TLR by endogenous ligand
R-HSA-2672351,60,0.194688678,1.286327587,0.18019287,0.277460966,Stimuli-sensing channels
R-HSA-202427,17,0.302693447,1.288146994,0.181794673,0.278811507,Phosphorylation of CD3 and TCR zeta chains
R-HSA-1566948,36,0.230353202,1.283438242,0.186600093,0.285268194,Elastic fibre formation
R-HSA-975576,19,0.288439476,1.279822221,0.188583724,0.285268194,N-glycan antennae elongation in the medial/trans-Golgi
R-HSA-177929,45,0.212260835,1.277935544,0.18799955,0.285268194,Signaling by EGFR
R-HSA-201722,28,0.249131081,1.275111249,0.188697318,0.285268194,Formation of the beta-catenin:TCF transactivating complex
R-HSA-193368,16,0.30618199,1.270001883,0.188723571,0.285268194,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
R-HSA-3769402,38,0.224826158,1.276028576,0.193689544,0.289277918,Deactivation of the beta-catenin transactivating complex
R-HSA-400253,62,0.189307302,1.264668899,0.195237582,0.290185801,Circadian Clock
R-HSA-1474228,91,0.170221437,1.262159623,0.195854922,0.290185801,Degradation of the extracellular matrix
R-HSA-9614657,15,0.312156133,1.261874834,0.197569995,0.292146107,FOXO-mediated transcription of cell death genes
R-HSA-1483166,24,0.260780818,1.262057421,0.200538688,0.295363825,Synthesis of PA
R-HSA-4641262,26,0.251784228,1.254961481,0.202378064,0.296185411,Disassembly of the destruction complex and recruitment of AXIN to the membrane
R-HSA-187037,102,0.163097449,1.241760343,0.202268041,0.296185411,Signaling by NTRK1 (TRKA)
R-HSA-166016,136,0.151772139,1.230922105,0.202686203,0.296185411,Toll Like Receptor 4 (TLR4) Cascade
R-HSA-9662361,29,0.242655518,1.257756725,0.204496788,0.297083669,Sensory processing of sound by outer hair cells of the cochlea
R-HSA-2243919,15,0.310385474,1.254717038,0.204305335,0.297083669,Crosslinking of collagen fibrils
R-HSA-383280,37,0.222970932,1.254996848,0.206561922,0.299317375,Nuclear Receptor transcription pathway
R-HSA-5654726,20,0.276466854,1.251427566,0.208349003,0.300699592,Negative regulation of FGFR1 signaling
R-HSA-5625900,20,0.276416618,1.251200173,0.208599724,0.300699592,RHO GTPases activate CIT
R-HSA-381070,45,0.208161314,1.25325401,0.210401891,0.300887522,IRE1alpha activates chaperones
R-HSA-168142,93,0.166202723,1.237346164,0.211152493,0.300887522,Toll Like Receptor 10 (TLR10) Cascade
R-HSA-168176,93,0.166202723,1.237346164,0.211152493,0.300887522,Toll Like Receptor 5 (TLR5) Cascade
R-HSA-975871,93,0.166202723,1.237346164,0.211152493,0.300887522,MyD88 cascade initiated on plasma membrane
R-HSA-1912422,43,0.210581447,1.249085279,0.212850045,0.302151042,Pre-NOTCH Expression and Processing
R-HSA-168164,101,0.162068676,1.231428304,0.212754997,0.302151042,Toll Like Receptor 3 (TLR3) Cascade
R-HSA-5669034,15,0.306802409,1.240232688,0.21737982,0.306247961,TNFs bind their physiological receptors
R-HSA-9013695,17,0.287749608,1.224551759,0.228600983,0.319639569,NOTCH4 Intracellular Domain Regulates Transcription
R-HSA-196299,16,0.294040605,1.219641044,0.229313495,0.320035392,Beta-catenin phosphorylation cascade
R-HSA-1971475,19,0.275508393,1.222446276,0.231109986,0.321939735,A tetrasaccharide linker sequence is required for GAG synthesis
R-HSA-437239,33,0.22530521,1.220254887,0.233063285,0.323451545,Recycling pathway of L1
R-HSA-5620922,21,0.264491828,1.218364585,0.23513986,0.325726905,BBSome-mediated cargo-targeting to cilium
R-HSA-381038,43,0.205342922,1.218012434,0.238934056,0.330242272,XBP1(S) activates chaperone genes
R-HSA-373080,40,0.209090098,1.210785273,0.245701924,0.336604029,Class B/2 (Secretin family receptors)
R-HSA-5654732,20,0.265693744,1.20266307,0.249467218,0.33926775,Negative regulation of FGFR3 signaling
R-HSA-8956319,23,0.251652772,1.200565163,0.249353846,0.33926775,Nucleotide catabolism
R-HSA-380972,26,0.239817293,1.195315002,0.25272992,0.342455088,Energy dependent regulation of mTOR by LKB1-AMPK
R-HSA-425410,19,0.26942034,1.195433243,0.253765346,0.343234053,Metal ion SLC transporters
R-HSA-389357,22,0.25578385,1.199835659,0.255094433,0.343334313,CD28 dependent PI3K/Akt signaling
R-HSA-109704,27,0.235521503,1.189112699,0.255221538,0.343334313,PI3K Cascade
R-HSA-2022870,15,0.294519872,1.190581172,0.256075013,0.343861753,Chondroitin sulfate biosynthesis
R-HSA-174824,50,0.191135276,1.193055484,0.256546826,0.343875716,"Plasma lipoprotein assembly, remodeling, and clearance"
R-HSA-156580,57,0.181836037,1.183879248,0.262807935,0.350377588,Phase II - Conjugation of compounds
R-HSA-5654708,16,0.285187086,1.182917836,0.261942052,0.350377588,Downstream signaling of activated FGFR3
R-HSA-8957322,110,0.151430201,1.174698509,0.262402624,0.350377588,Metabolism of steroids
R-HSA-5654741,31,0.22264669,1.180906149,0.263424997,0.350573116,Signaling by FGFR3
R-HSA-204998,70,0.171179275,1.18227136,0.269206214,0.356357857,"Cell death signalling via NRAGE, NRIF and NADE"
R-HSA-8964038,15,0.290345954,1.173708329,0.269017433,0.356357857,LDL clearance
R-HSA-168898,152,0.139885183,1.161357771,0.270059698,0.356853801,Toll-like Receptor Cascades
R-HSA-5654727,21,0.254982549,1.174560704,0.273101898,0.360221347,Negative regulation of FGFR2 signaling
R-HSA-445717,31,0.220534904,1.169705353,0.273574885,0.360221347,Aquaporin-mediated transport
R-HSA-9683701,29,0.225993496,1.171392443,0.275279562,0.361810533,Translation of Structural Proteins
R-HSA-9665348,15,0.28876447,1.167315261,0.275752773,0.361810533,Signaling by ERBB2 ECD mutants
R-HSA-6802957,71,0.1689755,1.171712582,0.279744817,0.366403349,Oncogenic MAPK signaling
R-HSA-1296071,36,0.208810403,1.163410163,0.284254529,0.371476988,Potassium Channels
R-HSA-74752,56,0.178954163,1.158663753,0.285823504,0.372401621,Signaling by Insulin receptor
R-HSA-3899300,42,0.198311253,1.164568826,0.288579198,0.374681959,SUMOylation of transcription cofactors
R-HSA-400042,19,0.260244175,1.15471808,0.291228958,0.377464719,"Adrenaline,noradrenaline inhibits insulin secretion"
R-HSA-6804758,28,0.224818241,1.150672439,0.293821839,0.380164222,Regulation of TP53 Activity through Acetylation
R-HSA-416482,66,0.16998407,1.154717263,0.296161659,0.380886432,G alpha (12/13) signalling events
R-HSA-373755,61,0.173198482,1.150379326,0.296424328,0.380886432,Semaphorin interactions
R-HSA-3000178,55,0.178011633,1.146007635,0.298643029,0.383076845,ECM proteoglycans
R-HSA-6794362,45,0.190042657,1.144168999,0.308341776,0.392608785,Protein-protein interactions at synapses
R-HSA-5663084,29,0.21922358,1.136301925,0.308708066,0.392608785,Diseases of carbohydrate metabolism
R-HSA-9006936,110,0.145642886,1.129804227,0.314473145,0.398580355,Signaling by TGFB family members
R-HSA-3000171,51,0.179995205,1.131733587,0.315481449,0.399029237,Non-integrin membrane-ECM interactions
R-HSA-5654733,21,0.245404815,1.130441487,0.316433566,0.399029237,Negative regulation of FGFR4 signaling
R-HSA-9031628,32,0.210052979,1.12691402,0.316308559,0.399029237,NGF-stimulated transcription
R-HSA-166520,114,0.144102754,1.126576513,0.317697665,0.399946562,Signaling by NTRKs
R-HSA-6785807,82,0.156208889,1.125648759,0.322003765,0.403243023,Interleukin-4 and Interleukin-13 signaling
R-HSA-180024,24,0.232009403,1.122817205,0.321988247,0.403243023,DARPP-32 events
R-HSA-5627123,24,0.230574211,1.115871546,0.327987267,0.407394711,RHO GTPases activate PAKs
R-HSA-2559580,60,0.168851391,1.115618047,0.32972153,0.408867402,Oxidative Stress Induced Senescence
R-HSA-204174,15,0.274374749,1.109145567,0.333333333,0.412659556,Regulation of pyruvate dehydrogenase (PDH) complex
R-HSA-4085001,25,0.225661635,1.108588093,0.337397878,0.414251886,Sialic acid metabolism
R-HSA-74751,36,0.198766739,1.107450782,0.339061774,0.414251886,Insulin receptor signalling cascade
R-HSA-211976,16,0.266604894,1.10584139,0.337770817,0.414251886,Endogenous sterols
R-HSA-975155,98,0.146278265,1.101622808,0.345490237,0.420034494,MyD88 dependent cascade initiated on endosome
R-HSA-166058,106,0.143075156,1.10108571,0.34541162,0.420034494,MyD88:MAL(TIRAP) cascade initiated on plasma membrane
R-HSA-168188,106,0.143075156,1.10108571,0.34541162,0.420034494,Toll Like Receptor TLR6:TLR2 Cascade
R-HSA-5083635,22,0.234101127,1.098125934,0.35139165,0.423752833,Defective B3GALTL causes PpS
R-HSA-350054,27,0.216802946,1.094605518,0.350839068,0.423752833,Notch-HLH transcription pathway
R-HSA-400685,24,0.226048116,1.093967357,0.351371205,0.423752833,Sema4D in semaphorin signaling
R-HSA-392517,15,0.268720206,1.086287374,0.357501321,0.426975262,Rap1 signalling
R-HSA-216083,70,0.156894381,1.083610933,0.369014684,0.431909173,Integrin cell surface interactions
R-HSA-9614085,51,0.171522527,1.078460982,0.372681095,0.433300296,FOXO-mediated transcription
R-HSA-168181,99,0.142456272,1.075895165,0.374600227,0.43485319,Toll Like Receptor 7/8 (TLR7/8) Cascade
R-HSA-9009391,64,0.159759189,1.076682069,0.375375698,0.435075704,Extra-nuclear estrogen signaling
R-HSA-9609736,17,0.250677099,1.066785403,0.379751746,0.438782923,Assembly and cell surface presentation of NMDA receptors
R-HSA-111885,69,0.155006811,1.066429262,0.390113987,0.446963825,Opioid Signalling
R-HSA-2187338,52,0.16817572,1.064375672,0.388962472,0.446963825,Visual phototransduction
R-HSA-163841,29,0.20434725,1.059193418,0.391030217,0.446963825,"Gamma carboxylation, hypusine formation and arylsulfatase activation"
R-HSA-5654716,17,0.248609269,1.057985514,0.389319886,0.446963825,Downstream signaling of activated FGFR4
R-HSA-975138,97,0.141490128,1.063744559,0.392009085,0.447396522,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
R-HSA-199992,66,0.156189749,1.061011188,0.392922057,0.447752803,trans-Golgi Network Vesicle Budding
R-HSA-9013026,61,0.158548862,1.053076973,0.397645025,0.451753334,RHOB GTPase cycle
R-HSA-449836,17,0.244423918,1.04017427,0.407551073,0.460899544,Other interleukin signaling
R-HSA-9013149,169,0.123463755,1.047654744,0.414457103,0.463093432,RAC1 GTPase cycle
R-HSA-2980736,42,0.177548799,1.042642784,0.410378427,0.463093432,Peptide hormone metabolism
R-HSA-1251985,26,0.209003862,1.041732433,0.411186605,0.463093432,Nuclear signaling by ERBB4
R-HSA-1839124,21,0.225636543,1.039380217,0.413586414,0.463093432,FGFR1 mutant receptor activation
R-HSA-4090294,26,0.208472641,1.039084681,0.41421985,0.463093432,SUMOylation of intracellular receptors
R-HSA-2426168,40,0.179327826,1.038439853,0.414436981,0.463093432,Activation of gene expression by SREBF (SREBP)
R-HSA-2173789,46,0.171900328,1.043271712,0.415217147,0.463242579,TGF-beta receptor signaling activates SMADs
R-HSA-373753,16,0.24944739,1.034674361,0.417645523,0.464939219,Nephrin family interactions
R-HSA-163615,15,0.254515981,1.028867535,0.420892763,0.466318051,PKA activation
R-HSA-432720,31,0.19392532,1.028569541,0.421102325,0.466318051,Lysosome Vesicle Biogenesis
R-HSA-2514856,18,0.23605844,1.026642178,0.422185218,0.466823574,The phototransduction cascade
R-HSA-5675221,42,0.17509061,1.028207241,0.425220938,0.469483702,Negative regulation of MAPK pathway
R-HSA-1482839,16,0.247375422,1.026080118,0.426128948,0.469790245,Acyl chain remodelling of PE
R-HSA-5173214,23,0.214635754,1.023967299,0.427815385,0.470952798,O-glycosylation of TSR domain-containing proteins
R-HSA-5633008,40,0.176767073,1.023611214,0.430490721,0.472502024,TP53 Regulates Transcription of Cell Death Genes
R-HSA-389948,17,0.238939019,1.016832646,0.432764417,0.474299082,PD-1 signaling
R-HSA-168138,101,0.135529914,1.029781793,0.434576551,0.475585745,Toll Like Receptor 9 (TLR9) Cascade
R-HSA-1483206,90,0.138791806,1.026717656,0.436009127,0.476453869,Glycerophospholipid biosynthesis
R-HSA-9013508,21,0.22037468,1.015141784,0.440934066,0.481130182,NOTCH3 Intracellular Domain Regulates Transcription
R-HSA-1236394,45,0.168613648,1.015153708,0.44433187,0.48342215,Signaling by ERBB4
R-HSA-983170,23,0.2112217,1.0076798,0.445292308,0.483760862,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
R-HSA-6783589,18,0.229520695,0.99820886,0.45254259,0.488080057,Interleukin-6 family signaling
R-HSA-166166,105,0.13274661,1.019109524,0.455648062,0.489305063,MyD88-independent TLR4 cascade 
R-HSA-937061,105,0.13274661,1.019109524,0.455648062,0.489305063,TRIF(TICAM1)-mediated TLR4 signaling 
R-HSA-4086398,44,0.167931633,1.002434895,0.45697832,0.489323428,Ca2+ pathway
R-HSA-194138,105,0.131931048,1.012848363,0.463254189,0.495331821,Signaling by VEGF
R-HSA-432040,28,0.194035808,0.993120733,0.464918582,0.496399271,Vasopressin regulates renal water homeostasis via Aquaporins
R-HSA-6811440,45,0.165371577,0.995634531,0.468085106,0.497641347,Retrograde transport at the Trans-Golgi-Network
R-HSA-70268,24,0.204558581,0.989968039,0.467433888,0.497641347,Pyruvate metabolism
R-HSA-381676,27,0.195822884,0.988680333,0.466859833,0.497641347,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
R-HSA-399954,15,0.243835462,0.985692097,0.471870048,0.500238068,Sema3A PAK dependent Axon repulsion
R-HSA-112043,40,0.170906173,0.989672297,0.47375612,0.501194442,PLC beta mediated events
R-HSA-3371571,19,0.221399766,0.982363249,0.4741172,0.501194442,HSF1-dependent transactivation
R-HSA-418555,61,0.148384247,0.985563892,0.478340715,0.504942935,G alpha (s) signalling events
R-HSA-389661,21,0.213203977,0.982110402,0.479395604,0.50534071,Glyoxylate metabolism and glycine degradation
R-HSA-8964043,28,0.191160707,0.978405292,0.482279693,0.505503963,Plasma lipoprotein clearance
R-HSA-5654743,31,0.184345921,0.977760916,0.481175499,0.505503963,Signaling by FGFR4
R-HSA-392451,17,0.228705354,0.973282103,0.483061805,0.505503963,G beta:gamma signalling through PI3Kgamma
R-HSA-2428924,34,0.178051556,0.974243696,0.489138052,0.50868156,IGF1R signaling cascade
R-HSA-5684264,16,0.23486406,0.974184664,0.489950405,0.50868156,MAP3K8 (TPL2)-dependent MAPK1/3 activation
R-HSA-165159,38,0.171086541,0.971022758,0.489175495,0.50868156,MTOR signalling
