ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-1630316	Glycosaminoglycan metabolism	96	0.270604707	2.028877708	0.00041365	0.024510718	0.017364006	4515	"tags=57%, list=39%, signal=35%"	337876/90161/6385/93010/3038/2239/4166/8692/5549/2799/3425/6382/1634/2719/3373/2588/6548/2990/6487/2683/3423/347734/10331/633/10090/4958/10861/9334/11285/56548/2720/4669/3074/54480/92126/9672/9953/55501/55454/6448/4060/126792/11046/4969/10402/2132/138050/9060/9394/2331/26035/6484/3340/1836/3339
R-HSA-425407	SLC-mediated transmembrane transport	147	0.242395991	1.999163487	0.000506945	0.024510718	0.017364006	3907	"tags=48%, list=33%, signal=33%"	10568/115019/9194/347/125206/6505/57419/6553/291/6533/6571/254428/64116/55089/5002/6567/6565/133418/28232/66035/6584/6560/6581/8671/55244/55356/26266/64924/9843/9498/126969/6548/30061/117247/57153/6517/347734/9057/353189/1356/6536/6578/2030/84102/57835/6550/10723/6558/6583/206358/10861/23382/23169/79751/28231/154091/55974/6546/4891/6507/283652/81031/23315/801/11046/284129/6522/123096/6575/27173/57181
R-HSA-390918	Peroxisomal lipid metabolism	27	0.404624925	2.042890484	0.00301823	0.025300625	0.017923597	3813	"tags=67%, list=33%, signal=45%"	55289/3295/8309/215/23600/1962/6342/10455/224/79777/26063/283927/30/11001/55825/23417/5264/122970
R-HSA-420029	Tight junction interactions	17	0.481267402	2.048089126	0.003491078	0.027448908	0.019445494	1815	"tags=53%, list=16%, signal=45%"	51208/84612/9071/1364/1366/92359/9076/1365/50848
R-HSA-196849	Metabolism of water-soluble vitamins and cofactors	97	0.249209636	1.873596395	0.003510221	0.027448908	0.019445494	6093	"tags=70%, list=52%, signal=34%"	79668/1528/55328/31/10560/326625/5743/32/4907/113235/84875/26119/4552/4338/56922/79178/54956/4837/5095/3141/83594/4337/5091/952/4522/441024/166785/64802/27010/79717/79646/64087/8034/143/53354/54/8566/10243/4548/65220/6470/1727/25974/25902/686/56965/80308/4036/54625/55788/51248/80347/55163/9054/83666/683/2194/5826/55229/51293/8884/4524/55312/81034/27304/6573/5096/6948
R-HSA-1250196	SHC1 events in ERBB2 signaling	19	0.451453215	2.003123374	0.00405012	0.028031095	0.01985793	3585	"tags=63%, list=31%, signal=44%"	2066/1956/1950/685/5581/5580/1839/5782/3084/2064/6464/5578
R-HSA-5576891	Cardiac conduction	68	0.272089776	1.866670685	0.004900394	0.030504229	0.02160996	1647	"tags=29%, list=14%, signal=25%"	2258/3775/9254/6323/775/6332/4881/2259/782/476/8645/25937/481/3777/783/3710/7220/204851/5350/3784
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	31	0.370376827	1.964458905	0.005192966	0.031578035	0.022370671	2555	"tags=52%, list=22%, signal=40%"	6196/2353/5601/9252/5602/5516/6197/1848/4208/6195/5600/5595/3725/4205/1845/51231
R-HSA-3781865	Diseases of glycosylation	107	0.234444196	1.806547029	0.006575568	0.036582397	0.025915887	5409	"tags=62%, list=46%, signal=33%"	4582/79875/6385/9719/54344/2239/4166/79695/143662/5549/2582/55624/6382/54507/56052/1634/2719/2591/4853/8818/56913/6487/2683/633/91869/81794/4958/199857/56999/1605/11285/2720/94025/29929/55901/3074/2592/9672/10417/4060/126792/1798/9509/11253/4969/79087/57188/2132/10418/9060/2331/79796/1836/3339/79868/4351/10195/4851/5236/29071/2131/29954/79644/22845/375790/10585
R-HSA-112315	Transmission across Chemical Synapses	137	0.215431127	1.750666215	0.007111653	0.037785146	0.026767944	2640	"tags=32%, list=23%, signal=25%"	2066/785/83988/1740/9254/2036/10497/6196/6505/782/115/6571/23426/5923/26960/6812/4128/2744/5564/320/783/51422/4646/1741/217/2743/3772/6197/5170/6844/8874/23229/6195/5330/817/5562/5577/5595/784/84254/7915/3084/4900/55970
R-HSA-877300	Interferon gamma signaling	73	0.259632087	1.813962618	0.007202627	0.038076198	0.026974133	2654	"tags=40%, list=23%, signal=31%"	3115/3127/3106/3105/10346/2635/3107/3125/5580/23321/4940/55128/10475/6672/3383/5371/85363/817/8638/6737/4092/4938/3119/4939/3665/10437/8651/81603/5770
R-HSA-913531	Interferon Signaling	160	0.204951102	1.721034722	0.007367784	0.038561733	0.027318098	2552	"tags=34%, list=22%, signal=27%"	3115/3127/8519/91543/9636/4599/3434/3429/2537/3106/3105/10346/2635/3107/3125/10410/3437/1974/25939/1958/5580/23321/4940/55128/57122/10475/6672/54739/3383/3433/103/2316/24138/10581/5371/85363/7318/2317/4600/817/8638/6737/4092/4938/5595/3119/201626/5495/4939/3665/10437/317649/8651/81603
R-HSA-373760	L1CAM interactions	82	0.250024112	1.801685764	0.007634386	0.039759278	0.028166469	2384	"tags=34%, list=20%, signal=27%"	6323/3786/6332/6196/3680/214/1956/26052/7430/1808/1785/288/9252/3672/10752/1741/6197/8829/4478/23114/6195/11313/6710/2260/6711/5595/3673/6712
R-HSA-1227990	Signaling by ERBB2 in Cancer	22	0.406121593	1.905042746	0.007703777	0.039923023	0.02828247	3140	"tags=55%, list=27%, signal=40%"	2066/1956/1950/685/2549/1839/5782/5295/3084/2064/5290/6464
R-HSA-3560782	Diseases associated with glycosaminoglycan metabolism	34	0.340813849	1.864829215	0.008993226	0.044638058	0.031622719	4515	"tags=65%, list=39%, signal=40%"	6385/2239/4166/5549/6382/1634/2719/6487/2683/633/4958/11285/3074/9672/4060/126792/4969/2132/9060/2331/1836/3339
R-HSA-3296482	Defects in vitamin and cofactor metabolism	18	0.433476902	1.88523516	0.009606763	0.047006116	0.03330031	6093	"tags=94%, list=52%, signal=45%"	31/326625/4552/56922/5095/3141/5091/166785/64087/4548/25974/686/55788/5826/51293/5096/6948
R-HSA-196854	Metabolism of vitamins and cofactors	143	0.209282712	1.715338668	0.009947219	0.048223383	0.034162653	6159	"tags=66%, list=53%, signal=32%"	6385/2239/79668/1528/55328/31/10560/326625/4023/5743/32/6382/4907/113235/84875/26119/2719/3949/83875/4552/4338/56922/79178/154807/54956/207/4837/5095/3141/54884/6697/83594/4337/5091/952/4522/441024/166785/64802/27010/79717/79646/64087/8034/143/79001/53354/54/8566/10243/4548/65220/9672/6470/26020/1727/801/25974/25902/686/56965/80308/29914/57017/4036/151056/3320/54625/10229/55788/3339/51248/80347/348/55163/9054/83666/683/2194/5826/375790/55229/51293/84274/8884/4524/55312/805/81034/27304/6573/5096/6948/808
R-HSA-112316	Neuronal System	195	0.188641268	1.640173019	0.010245078	0.049213801	0.03486429	2690	"tags=30%, list=23%, signal=24%"	2066/785/83988/1740/3775/9254/3786/22829/2036/10497/6196/3790/56479/3748/6505/782/115/6571/23426/5923/26960/6812/4128/2744/3777/5564/320/783/9369/84189/51422/4646/1741/217/9455/2743/3772/6197/5170/6844/3784/8874/23229/6195/5330/817/5562/5577/5595/784/5789/84254/9456/7915/3084/4900/55970/3556/3782
R-HSA-419037	NCAM1 interactions	25	0.379958505	1.866588776	0.010486526	0.049962006	0.035394337	1019	"tags=32%, list=9%, signal=29%"	785/775/776/782/1286/1287/1285/783
R-HSA-1227986	Signaling by ERBB2	44	0.305235801	1.822045159	0.010614273	0.049962006	0.035394337	4771	"tags=61%, list=41%, signal=36%"	2066/1956/1950/685/5581/10000/5580/2549/207/1729/1839/5782/5295/3084/2886/10273/2064/5290/6464/9101/5578/7314/26469/10193/3320/2065/208
R-HSA-198753	ERK/MAPK targets	22	0.390049783	1.829652802	0.014040755	0.060229829	0.04266832	2555	"tags=55%, list=22%, signal=43%"	6196/9252/5516/6197/1848/4208/6195/5600/5595/4205/1845/51231
R-HSA-2024096	HS-GAG degradation	19	0.406324711	1.802885658	0.014934818	0.062845716	0.04452148	5398	"tags=79%, list=46%, signal=43%"	6385/2239/3425/6382/2719/2990/3423/2720/4669/9672/6448/138050/3339/79411/375790
R-HSA-9664565	Signaling by ERBB2 KD Mutants	21	0.391695706	1.804321065	0.015484515	0.064386207	0.045612802	3140	"tags=52%, list=27%, signal=38%"	2066/1956/1950/685/2549/1839/5295/3084/2064/5290/6464
R-HSA-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	40	0.303708029	1.758692604	0.015484459	0.064386207	0.045612802	4515	"tags=60%, list=39%, signal=37%"	90161/6385/2239/3425/6382/1634/2719/2990/3423/633/11285/2720/4669/9672/9953/6448/126792/11046/2132/138050/9394/26035/3340/3339
R-HSA-9659379	Sensory processing of sound	41	0.295483843	1.722982493	0.01826225	0.073891875	0.052346856	1572	"tags=32%, list=13%, signal=28%"	9254/2059/2036/776/7430/64072/783/53405/27445/2934/4641/6844/4478
R-HSA-9753281	Paracetamol ADME	15	0.439675206	1.777364018	0.019017433	0.07665264	0.054302651	2807	"tags=60%, list=24%, signal=46%"	10257/95/2678/2952/124975/8714/6817/2686/2687
R-HSA-936837	Ion transport by P-type ATPases	37	0.308614669	1.737044522	0.01952403	0.078394195	0.055536412	2099	"tags=38%, list=18%, signal=31%"	57194/84239/23250/23120/476/481/10396/23400/9914/5350/79895/57198/538/817
R-HSA-421270	Cell-cell junction organization	36	0.312192501	1.739414907	0.019623781	0.078495123	0.055607912	1382	"tags=33%, list=12%, signal=29%"	51208/84612/9071/1364/1366/1009/92359/9076/23705/221935/1365/283
R-HSA-75105	Fatty acyl-CoA biosynthesis	22	0.375335096	1.760628874	0.020626243	0.081720072	0.057892547	6060	"tags=86%, list=52%, signal=42%"	51703/31/60481/51144/79993/79071/11001/79966/2180/64834/5538/197322/2181/11000/9524/2194/22880/2182/6319
R-HSA-8848021	Signaling by PTK6	49	0.275578372	1.706778591	0.0212932	0.082658472	0.058557333	3795	"tags=49%, list=32%, signal=33%"	2066/120892/1956/1950/685/202559/2034/9844/2908/207/10656/63916/1839/1398/3084/5770/1796/595/2064/5829/1027/55620/7314/6774
R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	49	0.275578372	1.706778591	0.0212932	0.082658472	0.058557333	3795	"tags=49%, list=32%, signal=33%"	2066/120892/1956/1950/685/202559/2034/9844/2908/207/10656/63916/1839/1398/3084/5770/1796/595/2064/5829/1027/55620/7314/6774
R-HSA-1638074	Keratan sulfate/keratin metabolism	28	0.34011169	1.740771328	0.021431992	0.082785756	0.058647504	4292	"tags=64%, list=37%, signal=41%"	93010/4166/5549/2799/2588/6487/2683/10331/4958/9334/2720/3074/4060/11046/4969/10402/2331/6484
R-HSA-211859	Biological oxidations	116	0.209297896	1.64159025	0.021483376	0.082785756	0.058647504	4286	"tags=49%, list=37%, signal=31%"	13/125/6819/1580/95/4128/2678/285440/50512/2328/2952/84532/196/124975/2946/217/4552/2232/2327/5447/55902/6817/4837/2948/347734/4129/6916/79017/57491/1595/8824/10861/113612/29104/2686/23169/9420/8639/2687/120227/27430/2941/8574/9915/4548/1727/10499/4835/10380/1312/1573/9060/128/4257/84836/9049/7172
R-HSA-1912408	Pre-NOTCH Transcription and Translation	28	0.337549504	1.727657457	0.022030651	0.084277255	0.059704119	5405	"tags=75%, list=46%, signal=40%"	1999/55534/2033/4853/7027/3725/8850/595/5584/7157/84441/1387/23112/10046/7029/51548/3516/57690/4851/27327/9794
R-HSA-70895	Branched-chain amino acid catabolism	21	0.37742382	1.738578542	0.022477522	0.08462689	0.059951809	4070	"tags=67%, list=35%, signal=44%"	27034/4329/9673/586/593/56922/3712/10295/64087/38/36/152926/594/587
R-HSA-983712	Ion channel transport	112	0.209822021	1.635647384	0.022622582	0.08462689	0.059951809	2185	"tags=29%, list=19%, signal=24%"	1831/57194/7439/23327/7225/84239/23250/23120/203859/476/245973/57348/1184/481/6338/57719/6340/10396/57101/7220/9114/2040/535/155066/23400/9914/5350/79895/57198/538/8992/817/1186
R-HSA-1793185	Chondroitin sulfate/dermatan sulfate metabolism	40	0.291922584	1.690446219	0.023682113	0.087723884	0.062145797	3584	"tags=50%, list=31%, signal=35%"	337876/6385/2239/3425/6382/1634/2719/3373/3423/633/10090/11285/56548/3074/54480/92126/9672/55501/55454/126792
R-HSA-445095	Interaction between L1 and Ankyrins	17	0.405289441	1.724756121	0.024308249	0.089102015	0.0631221	2384	"tags=47%, list=20%, signal=38%"	6323/3786/6332/288/23114/6710/6711/6712
R-HSA-2028269	Signaling by Hippo	18	0.39560971	1.720546887	0.024593314	0.08983391	0.063640592	4670	"tags=72%, list=40%, signal=43%"	23286/154796/25937/261734/10413/7082/9414/6788/26524/7529/1856/9113/51421
R-HSA-375165	NCAM signaling for neurite out-growth	44	0.282065136	1.683732425	0.024841915	0.090428009	0.064061467	2645	"tags=39%, list=23%, signal=30%"	785/775/776/782/1286/1287/1285/9252/783/6710/131873/2260/6711/5595/6712/784/1293
R-HSA-2142753	Arachidonic acid metabolism	37	0.298767633	1.681620258	0.026571165	0.09572899	0.067816815	4614	"tags=59%, list=39%, signal=36%"	3248/247/1580/2678/5730/5743/6916/5446/2879/2053/113612/2876/2687/145482/5321/4048/5445/241/1573/2166/158584/9261
R-HSA-166658	Complement cascade	26	0.339507069	1.692196121	0.02669255	0.095838099	0.06789411	1305	"tags=35%, list=11%, signal=31%"	722/730/1604/1191/727/718/8547/975/1675
R-HSA-8853659	RET signaling	29	0.326116115	1.690358169	0.027599334	0.0987568	0.069961791	4211	"tags=59%, list=36%, signal=38%"	53358/5909/10818/55715/2549/8660/5295/1796/2886/5290/6464/8503/2887/5578/9846/5566/5598
R-HSA-6811558	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	81	0.225498217	1.620408167	0.029827316	0.103901775	0.07360662	3224	"tags=40%, list=28%, signal=29%"	2066/2246/10818/1956/1950/685/4233/5516/5525/2549/8660/207/8395/1839/3815/2260/4254/9173/5595/2263/5295/8396/5154/3084/3556/3082/5305/2323/2064/5290/5528/8503
R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	39	0.287561193	1.649412827	0.0306566	0.105895887	0.0750193	1572	"tags=31%, list=13%, signal=27%"	9254/2059/2036/776/7430/64072/783/53405/27445/4641/6844/4478
R-HSA-196807	Nicotinate metabolism	22	0.357938616	1.679025141	0.0319334	0.109784106	0.077773811	3105	"tags=55%, list=27%, signal=40%"	79668/55328/5743/4907/84875/54956/4837/83594/952/64802/143/65220
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	55	0.254890721	1.6409417	0.032501641	0.111373703	0.078899922	3224	"tags=40%, list=28%, signal=29%"	2066/2246/10818/1956/1950/685/4233/2549/8660/1839/3815/2260/4254/2263/5295/5154/3084/3082/2323/2064/5290/8503
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	54	0.255222217	1.633848008	0.034369167	0.11739079	0.083162577	2555	"tags=39%, list=22%, signal=31%"	6196/2354/3400/2353/1785/9252/2033/1958/5516/6197/10221/1020/1848/4208/6195/6236/5600/5595/4205/1845/51231
R-HSA-114508	Effects of PIP2 hydrolysis	22	0.352976981	1.65575101	0.035536779	0.120208012	0.085158368	1923	"tags=41%, list=16%, signal=34%"	11343/7225/8527/5581/5580/3710/10235/5588/221955
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	18	0.376909434	1.639217484	0.037530421	0.126544882	0.089647565	365	"tags=22%, list=3%, signal=22%"	2066/1956/1950/685
R-HSA-5654736	Signaling by FGFR1	35	0.296110712	1.633546605	0.038209862	0.128424201	0.090978922	3140	"tags=46%, list=27%, signal=34%"	2246/10818/23767/200734/10253/673/5516/2549/161742/2260/5595/5295/10817/53834/5290/6464
R-HSA-450294	MAP kinase activation	63	0.237917118	1.596758288	0.040012907	0.132284569	0.093713703	2555	"tags=37%, list=22%, signal=29%"	8945/6196/23291/2353/5601/9252/5602/5516/10392/6197/5606/1848/6416/4208/6195/7867/6500/5600/5595/3725/4205/1845/51231
R-HSA-199418	Negative regulation of the PI3K/AKT network	88	0.213680874	1.570843081	0.040095565	0.132284569	0.093713703	3224	"tags=39%, list=28%, signal=28%"	2066/2246/10818/1956/1950/685/4233/10000/5516/5525/2549/8660/207/8395/1839/3815/2260/4254/9173/5595/2263/117145/5295/8396/5154/3084/3556/3082/5305/2323/2064/5290/5528/8503
R-HSA-9694614	Attachment and Entry	15	0.400393635	1.618570319	0.041336503	0.134216053	0.095082014	1510	"tags=40%, list=13%, signal=35%"	6385/7113/2239/6382/2719/8829
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	66	0.232715165	1.580855307	0.042446274	0.137395324	0.09733429	3850	"tags=47%, list=33%, signal=32%"	10568/115019/6505/57419/6553/6533/55089/6565/6560/8671/9498/6548/117247/9057/57835/6550/10723/6558/206358/10861/23382/79751/6546/6507/283652/23315/801/284129/6522/123096/6575
R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	22	0.342232223	1.605349298	0.044358847	0.141935787	0.100550868	2987	"tags=50%, list=26%, signal=37%"	1740/6196/5923/1741/6197/5170/6195/817/5595/5924/1742
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	75	0.222809765	1.571108283	0.044793423	0.141935787	0.100550868	3736	"tags=45%, list=32%, signal=31%"	5069/4148/8404/718/5768/57719/462/3371/2621/2719/4924/3913/5265/64856/7466/3490/1471/57104/10272/652/1356/54587/4240/5611/334/51280/4313/11320/4052/375056/51246/11167/91851/1435
R-HSA-8957275	Post-translational protein phosphorylation	69	0.227961986	1.568352585	0.044742729	0.141935787	0.100550868	3736	"tags=46%, list=32%, signal=32%"	4148/8404/718/5768/57719/462/3371/2621/2719/4924/3913/5265/64856/7466/3490/1471/57104/10272/652/1356/54587/4240/5611/334/51280/11320/4052/375056/51246/11167/91851/1435
R-HSA-445355	Smooth Muscle Contraction	36	0.28579723	1.59235075	0.045750116	0.143669021	0.101778734	4264	"tags=58%, list=36%, signal=37%"	10580/4629/10398/3672/217/309/7414/140465/72/59/10174/7168/8291/2977/25802/301/5829/801/4638/8654/10627
R-HSA-2219528	PI3K/AKT Signaling in Cancer	81	0.215128967	1.545895749	0.046467818	0.144627646	0.102457848	3272	"tags=38%, list=28%, signal=28%"	2066/2246/10818/1956/1950/685/4233/10000/3164/2549/8660/5170/207/1839/572/3815/2260/4254/2263/5295/64223/5154/3084/2931/55615/3082/2323/2064/5290/8503/1026
R-HSA-448424	Interleukin-17 signaling	67	0.228917421	1.563444773	0.047136611	0.145433368	0.103028641	2555	"tags=36%, list=22%, signal=28%"	8945/6196/23291/2353/5601/9252/5602/5516/10392/6197/5606/1848/132014/6416/4208/6195/7867/6500/5600/5595/3725/4205/1845/51231
R-HSA-2022854	Keratan sulfate biosynthesis	22	0.338689195	1.588729596	0.047837972	0.147150721	0.104245258	4292	"tags=64%, list=37%, signal=40%"	93010/4166/5549/6487/2683/10331/4958/9334/4060/11046/4969/10402/2331/6484
R-HSA-977606	Regulation of Complement cascade	22	0.337595157	1.583597662	0.048707753	0.149389378	0.105831178	2668	"tags=45%, list=23%, signal=35%"	722/730/1604/1191/727/718/975/1380/712/3426
R-HSA-211945	Phase I - Functionalization of compounds	56	0.241142781	1.561312657	0.052096986	0.155127249	0.10989603	3788	"tags=48%, list=32%, signal=33%"	13/125/1580/4128/285440/2328/84532/196/217/2232/2327/5447/55902/4129/6916/57491/1595/8824/113612/9420/8639/120227/9915/1727/10499/4835/1573
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	59	0.235374091	1.548051324	0.054567151	0.16079732	0.11391285	2987	"tags=37%, list=26%, signal=28%"	2066/1740/6196/5923/26960/5564/320/51422/1741/6197/5170/8874/6195/817/5562/5577/5595/84254/3084/4900/5924/1742
R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	21	0.338509695	1.559323127	0.055194805	0.162192556	0.11490127	2874	"tags=48%, list=25%, signal=36%"	95/4128/2678/2328/2232/6916/113612/23169/9420/120227
R-HSA-112310	Neurotransmitter release cycle	23	0.322899026	1.540461163	0.060061538	0.175026976	0.123993495	952	"tags=30%, list=8%, signal=28%"	10497/6505/6571/6812/4128/2744/320
R-HSA-2022928	HS-GAG biosynthesis	22	0.32796039	1.538402716	0.061630219	0.176943519	0.125351222	5398	"tags=68%, list=46%, signal=37%"	90161/6385/2239/6382/2719/9672/9953/11046/2132/9394/26035/3340/3339/2131/375790
R-HSA-186712	Regulation of beta-cell development	20	0.340209024	1.539956577	0.062680206	0.179183631	0.126938174	5405	"tags=75%, list=46%, signal=40%"	6928/3170/55534/2033/10000/207/2494/8850/84441/1387/10046/3516/208/4851/9794
R-HSA-3560783	"Defective B4GALT7 causes EDS, progeroid type"	15	0.376938453	1.523753974	0.064844163	0.184867369	0.130964676	3265	"tags=53%, list=28%, signal=39%"	6385/2239/6382/1634/2719/633/11285/9672
R-HSA-9709957	Sensory Perception	116	0.185841199	1.457611886	0.066393862	0.188773899	0.13373216	2363	"tags=29%, list=20%, signal=24%"	9254/2059/6385/2036/8630/776/2239/7430/64072/285440/6338/4023/6340/783/5158/6382/53405/27445/2719/3949/57101/3710/2934/83875/4641/6844/4478/54884/5588/5330/6711/79823/2342/1488
R-HSA-425397	"Transport of vitamins, nucleosides, and related molecules"	29	0.292910595	1.518243946	0.067332857	0.18990393	0.134532702	5994	"tags=76%, list=51%, signal=37%"	347/291/6567/28232/347734/353189/6578/2030/23169/28231/11046/23568/292/51248/11309/55343/7355/8884/84912/51000/402/376497
R-HSA-5654687	Downstream signaling of activated FGFR1	18	0.347741066	1.512361285	0.070321506	0.195193205	0.138279757	3140	"tags=50%, list=27%, signal=37%"	2246/10818/23767/2549/2260/5295/10817/5290/6464
R-HSA-438064	Post NMDA receptor activation events	54	0.235117907	1.50514688	0.070056001	0.195193205	0.138279757	2987	"tags=37%, list=26%, signal=28%"	2066/1740/6196/5923/5564/51422/1741/6197/5170/8874/6195/817/5562/5577/5595/84254/3084/4900/5924/1742
R-HSA-6794361	Neurexins and neuroligins	31	0.282740652	1.499641318	0.075534049	0.205719683	0.145736978	5682	"tags=68%, list=49%, signal=35%"	1740/22829/2036/6812/320/9369/1741/9455/9456/1742/57669/28988/9229/2035/57555/6857/22941/127833/26037/9546/2037
R-HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	20	0.330431732	1.495699653	0.07621913	0.206297309	0.146146183	3965	"tags=60%, list=34%, signal=40%"	3908/25937/7003/10413/57716/7402/3156/1595/1605/79966/5376/3912
R-HSA-193648	NRAGE signals death through JNK	54	0.232077818	1.485685241	0.076534534	0.206446999	0.146252227	4201	"tags=50%, list=36%, signal=32%"	54848/11214/121512/389337/26230/84033/26084/27237/8997/6655/8874/23229/572/23263/445328/6453/221472/9639/5924/9181/9826/50650/7409/5599/89846/7984/10276
R-HSA-201451	Signaling by BMP	21	0.323211047	1.488850891	0.077297702	0.207972335	0.147332813	3666	"tags=57%, list=31%, signal=39%"	4091/658/4093/4090/657/4092/92/650/64750/6497/11167/91851
R-HSA-428157	Sphingolipid metabolism	63	0.218666707	1.467560976	0.080025815	0.213132043	0.15098808	3342	"tags=40%, list=29%, signal=29%"	79642/166929/5587/130367/83850/57488/151742/55304/153642/25870/124976/412/414/224/9517/94103/2720/55512/56848/6609/10558/221/3074/64781/259230
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	21	0.319117014	1.469991992	0.083041958	0.218947719	0.15510805	4987	"tags=67%, list=43%, signal=38%"	1956/1950/685/2353/10000/207/1839/5595/595/1027/127933/5594/208/2309
R-HSA-9616222	Transcriptional regulation of granulopoiesis	27	0.29024317	1.465394177	0.087649402	0.227111259	0.160891306	5217	"tags=67%, list=45%, signal=37%"	3570/2033/5914/2313/1050/1441/5371/51176/7027/688/2624/1026/865/6774/7029/6256/4602/7913
R-HSA-182971	EGFR downregulation	26	0.293101442	1.460897781	0.090148022	0.230183785	0.163067961	2310	"tags=38%, list=20%, signal=31%"	1956/1950/685/5796/10253/10252/5774/8874/1839/5782
